Дата,Сумма,Тип,ИНН,Организация,Статус,Сообщение,Документ1С
2025-01-01,15000,Поступление,7799091002,Конфетпром ООО,XAXAXA,XAXAXA,XAXAXA
2025-01-03,30000,Списание,5099618931,Абрамов Г. С. ИП,XAXAXA,XAXAXA,XAXAXA
2025-02-05,20000,Поступление,7799492773,Магазин №23,XAXAXA,XAXAXA,XAXAXA
2025-04-13,12000,Поступление,7799091002,"Торговый дом ""Комплексный"" ООО",XAXAXA,XAXAXA,XAXAXA
2025-04-12,8000,Списание,7799079911,"Филиал торгового дома ""Комплексный"" в г. Санкт-Петербурге",XAXAXA,XAXAXA,XAXAXA
2025-05-15,23000,Списание,7799555712,Магазин №23,XAXAXA,XAXAXA,XAXAXA
2025-06-26,30000,Поступление,779900731525,Магазин №23,XAXAXA,XAXAXA,XAXAXA
2025-06-28,3000,Списание,779955555766,"Филиал торгового дома ""Комплексный"" в г. Санкт-Петербурге",XAXAXA,XAXAXA,XAXAXA
2025-06-01,5600,Списание,7799079911,Магазин №23,XAXAXA,XAXAXA,XAXAXA
2025-07-06,12000,Поступление,7799492773,Магазин №23,XAXAXA,XAXAXA,XAXAXA
2025-08-08,5000,Поступление,5099618931,"Филиал торгового дома ""Комплексный"" в г. Санкт-Петербурге",XAXAXA,XAXAXA,XAXAXA
2025-11-11,3400,Списание,7799091002,Магазин №23,XAXAXA,XAXAXA,XAXAXA
2025-12-21,25000,Поступление,779900731525,Конфетпром ООО,XAXAXA,XAXAXA,XAXAXA
2026-01-05,10000,Списание,779955555766,"Торговый дом ""Комплексный"" ООО",XAXAXA,XAXAXA,XAXAXA
2026-02-10,12000,Поступление,5099618931,Абрамов Г. С. ИП,XAXAXA,XAXAXA,XAXAXA
2026-02-12,5000,Списание,7799091002,"Филиал торгового дома ""Комплексный"" в г. Санкт-Петербурге",XAXAXA,XAXAXA,XAXAXA
2026-03-15,3600,Списание,7799492773,"Торговый дом ""Комплексный"" ООО",XAXAXA,XAXAXA,XAXAXA
2026-04-09,5600,Поступление,7799091002,Магазин №23,XAXAXA,XAXAXA,XAXAXA
2026-05-11,3100,Списание,779955555766,Абрамов Г. С. ИП,XAXAXA,XAXAXA,XAXAXA
2026-06-27,23000,Поступление,7799492773,"Филиал торгового дома ""Комплексный"" в г. Санкт-Петербурге",XAXAXA,XAXAXA,XAXAXA
2026-06-04,3000,Поступление,779955555766,Абрамов Г. С. ИП,XAXAXA,XAXAXA,XAXAXA
2026-07-09,26000,Списание,7799091002,Конфетпром ООО,XAXAXA,XAXAXA,XAXAXA
2026-09-10,28000,Списание,7799079911,"Филиал торгового дома ""Комплексный"" в г. Санкт-Петербурге",XAXAXA,XAXAXA,XAXAXA
2026-12-01,17000,Поступление,5099618931,Магазин №23,XAXAXA,XAXAXA,XAXAXA
